Log_GDP_per_capita,Social_support,Healthy_life_expectancy_at_birth,Freedom_to_make_life_choices,Generosity,Perceptions_of_corruption,Regional_indicator_Central and Eastern Europe,Regional_indicator_Commonwealth of Independent States,Regional_indicator_East Asia,Regional_indicator_Latin America and Caribbean,Regional_indicator_Middle East and North Africa,Regional_indicator_North America and ANZ,Regional_indicator_South Asia,Regional_indicator_Southeast Asia,Regional_indicator_Sub-Saharan Africa,Regional_indicator_Western Europe
7.37,0.451,50.8,0.718,0.168,0.882,0,0,0,0,0,0,1,0,0,0
7.54,0.552,51.2,0.679,0.19,0.85,0,0,0,0,0,0,1,0,0,0
7.647,0.539,51.6,0.6,0.121,0.707,0,0,0,0,0,0,1,0,0,0
7.62,0.521,51.92,0.496,0.162,0.731,0,0,0,0,0,0,1,0,0,0
7.705,0.521,52.24,0.531,0.236,0.776,0,0,0,0,0,0,1,0,0,0
7.725,0.484,52.56,0.578,0.061,0.823,0,0,0,0,0,0,1,0,0,0
7.718,0.526,52.88,0.509,0.104,0.871,0,0,0,0,0,0,1,0,0,0
7.702,0.529,53.2,0.389,0.08,0.881,0,0,0,0,0,0,1,0,0,0
7.697,0.559,53.0,0.523,0.042,0.793,0,0,0,0,0,0,1,0,0,0
7.697,0.491,52.8,0.427,-0.121,0.954,0,0,0,0,0,0,1,0,0,0
7.692,0.508,52.6,0.374,-0.094,0.928,0,0,0,0,0,0,1,0,0,0
7.697,0.42,52.4,0.394,-0.108,0.924,0,0,0,0,0,0,1,0,0,0
9.142,0.821,65.8,0.529,-0.009,0.875,1,0,0,0,0,0,0,0,0,0
9.262,0.833,66.2,0.525,-0.158,0.864,1,0,0,0,0,0,0,0,0,0
9.303,0.733,66.4,0.569,-0.172,0.726,1,0,0,0,0,0,0,0,0,0
9.331,0.759,66.68,0.487,-0.205,0.877,1,0,0,0,0,0,0,0,0,0
9.347,0.785,66.96,0.602,-0.169,0.848,1,0,0,0,0,0,0,0,0,0
9.359,0.759,67.24,0.632,-0.127,0.863,1,0,0,0,0,0,0,0,0,0
9.378,0.626,67.52,0.735,-0.025,0.883,1,0,0,0,0,0,0,0,0,0
9.403,0.639,67.8,0.704,-0.081,0.885,1,0,0,0,0,0,0,0,0,0
9.437,0.638,68.1,0.73,-0.017,0.901,1,0,0,0,0,0,0,0,0,0
9.476,0.638,68.4,0.75,-0.029,0.876,1,0,0,0,0,0,0,0,0,0
9.518,0.684,68.7,0.824,0.009,0.899,1,0,0,0,0,0,0,0,0,0
9.544,0.686,69.0,0.777,-0.099,0.914,1,0,0,0,0,0,0,0,0,0
9.497,0.71,69.3,0.754,0.007,0.891,1,0,0,0,0,0,0,0,0,0
9.287,0.8033750000000001,64.5,0.593,-0.205,0.618,0,0,0,0,1,0,0,0,0,0
9.297,0.81,64.66,0.53,-0.181,0.638,0,0,0,0,1,0,0,0,0,0
9.311,0.839,64.82,0.587,-0.172,0.69,0,0,0,0,1,0,0,0,0,0
9.335,0.818,65.14,0.5135714285714286,-0.1332857142857142,0.6997142857142856,0,0,0,0,1,0,0,0,0,0
9.362,0.749,65.5,0.5135714285714286,-0.1332857142857142,0.6997142857142856,0,0,0,0,1,0,0,0,0,0
9.354,0.807,65.7,0.437,-0.167,0.7,0,0,0,0,1,0,0,0,0,0
9.348,0.799,65.9,0.583,-0.146,0.759,0,0,0,0,1,0,0,0,0,0
9.337,0.803,66.1,0.385,0.005,0.741,0,0,0,0,1,0,0,0,0,0
8.946,0.723,52.5,0.584,0.055,0.911,0,0,0,0,0,0,0,0,1,0
8.992,0.753,53.2,0.456,-0.136,0.906,0,0,0,0,0,0,0,0,1,0
9.005,0.722,53.9,0.41,-0.104,0.816,0,0,0,0,0,0,0,0,1,0
9.017,0.755,54.6,0.375,-0.168,0.834,0,0,0,0,0,0,0,0,1,0
9.942,0.938,66.82,0.733,-0.157,0.852,0,0,0,1,0,0,0,0,0,0
10.018,0.862,66.94,0.653,-0.141,0.881,0,0,0,1,0,0,0,0,0,0
10.048,0.892,67.06,0.678,-0.132,0.865,0,0,0,1,0,0,0,0,0,0
9.977,0.919,67.18,0.637,-0.13,0.885,0,0,0,1,0,0,0,0,0,0
10.066,0.927,67.3,0.73,-0.126,0.855,0,0,0,1,0,0,0,0,0,0
10.112,0.889,67.48,0.816,-0.174,0.755,0,0,0,1,0,0,0,0,0,0
10.091,0.902,67.66,0.747,-0.148,0.817,0,0,0,1,0,0,0,0,0,0
10.103,0.91,67.84,0.737,-0.13,0.823,0,0,0,1,0,0,0,0,0,0
10.067,0.918,68.02,0.745,-0.164,0.854,0,0,0,1,0,0,0,0,0,0
10.083,0.926,68.2,0.881,-0.174,0.851,0,0,0,1,0,0,0,0,0,0
10.051,0.883,68.4,0.848,-0.192,0.851,0,0,0,1,0,0,0,0,0,0
10.067,0.907,68.6,0.832,-0.186,0.841,0,0,0,1,0,0,0,0,0,0
10.032,0.9,68.8,0.846,-0.211,0.855,0,0,0,1,0,0,0,0,0,0
10.0,0.896,69.0,0.817,-0.211,0.83,0,0,0,1,0,0,0,0,0,0
9.85,0.897,69.2,0.823,-0.122,0.816,0,0,0,1,0,0,0,0,0,0
9.044,0.682,64.8,0.52,-0.231,0.85,0,1,0,0,0,0,0,0,0,0
9.181,0.76,64.9,0.605,-0.251,0.817,0,1,0,0,0,0,0,0,0,0
9.256,0.709,65.0,0.462,-0.215,0.876,0,1,0,0,0,0,0,0,0,0
9.111,0.68,65.1,0.441,-0.214,0.882,0,1,0,0,0,0,0,0,0,0
9.136,0.66,65.2,0.459,-0.176,0.891,0,1,0,0,0,0,0,0,0,0
9.182,0.705,65.36,0.465,-0.225,0.875,0,1,0,0,0,0,0,0,0,0
9.249,0.676,65.52,0.502,-0.215,0.893,0,1,0,0,0,0,0,0,0,0
9.277,0.723,65.68,0.504,-0.195,0.9,0,1,0,0,0,0,0,0,0,0
9.307,0.739,65.84,0.506,-0.218,0.92,0,1,0,0,0,0,0,0,0,0
9.334,0.723,66.0,0.551,-0.203,0.901,0,1,0,0,0,0,0,0,0,0
9.333,0.709,66.3,0.611,-0.17,0.921,0,1,0,0,0,0,0,0,0,0
9.402,0.698,66.6,0.614,-0.147,0.865,0,1,0,0,0,0,0,0,0,0
9.451,0.814,66.9,0.808,-0.163,0.677,0,1,0,0,0,0,0,0,0,0
9.522,0.782,67.2,0.844,-0.172,0.583,0,1,0,0,0,0,0,0,0,0
10.659,0.968,71.4,0.935,0.2659999999999999,0.39,0,0,0,0,0,1,0,0,0,0
10.703,0.965,71.72,0.891,0.347,0.513,0,0,0,0,0,1,0,0,0,0
10.719,0.947,71.88,0.916,0.305,0.431,0,0,0,0,0,1,0,0,0,0
10.722,0.955,72.2,0.932,0.317,0.366,0,0,0,0,0,1,0,0,0,0
10.733,0.967,72.3,0.945,0.369,0.382,0,0,0,0,0,1,0,0,0,0
10.754,0.945,72.4,0.935,0.274,0.368,0,0,0,0,0,1,0,0,0,0
10.762,0.928,72.5,0.933,0.269,0.432,0,0,0,0,0,1,0,0,0,0
10.772,0.924,72.6,0.923,0.319,0.442,0,0,0,0,0,1,0,0,0,0
10.779,0.952,72.7,0.922,0.332,0.357,0,0,0,0,0,1,0,0,0,0
10.791,0.942,73.0,0.922,0.239,0.399,0,0,0,0,0,1,0,0,0,0
10.798,0.95,73.3,0.911,0.317,0.411,0,0,0,0,0,1,0,0,0,0
10.811,0.94,73.6,0.916,0.146,0.405,0,0,0,0,0,1,0,0,0,0
10.815,0.943,73.9,0.918,0.121,0.43,0,0,0,0,0,1,0,0,0,0
10.76,0.937,74.2,0.905,0.21,0.491,0,0,0,0,0,1,0,0,0,0
10.842,0.936,70.76,0.941,0.302,0.49,0,0,0,0,0,0,0,0,0,1
10.887,0.935,71.08,0.879,0.291,0.614,0,0,0,0,0,0,0,0,0,1
10.861,0.914,71.4,0.896,0.131,0.546,0,0,0,0,0,0,0,0,0,1
10.887,0.944,71.54,0.939,0.132,0.703,0,0,0,0,0,0,0,0,0,1
10.889,0.945,71.68,0.92,0.118,0.771,0,0,0,0,0,0,0,0,0,1
10.883,0.95,71.82,0.922,0.168,0.679,0,0,0,0,0,0,0,0,0,1
10.882,0.899,71.96,0.885,0.118,0.567,0,0,0,0,0,0,0,0,0,1
10.881,0.928,72.1,0.9,0.099,0.557,0,0,0,0,0,0,0,0,0,1
10.891,0.926,72.4,0.889,0.08,0.524,0,0,0,0,0,0,0,0,0,1
10.908,0.906,72.7,0.89,0.133,0.518,0,0,0,0,0,0,0,0,0,1
10.928,0.912,73.0,0.904,0.053,0.523,0,0,0,0,0,0,0,0,0,1
10.939,0.964,73.3,0.903,0.06,0.457,0,0,0,0,0,0,0,0,0,1
10.851,0.925,73.6,0.912,0.011,0.464,0,0,0,0,0,0,0,0,0,1
9.17,0.854,61.88,0.772,-0.235,0.774,0,1,0,0,0,0,0,0,0,0
9.386,0.753,62.26,0.522,-0.207,0.871,0,1,0,0,0,0,0,0,0,0
9.465,0.684,62.64,0.601,-0.029,0.715,0,1,0,0,0,0,0,0,0,0
9.534,0.736,63.02,0.498,-0.087,0.754,0,1,0,0,0,0,0,0,0,0
9.569,0.687,63.4,0.501,-0.123,0.858,0,1,0,0,0,0,0,0,0,0
9.54,0.725,63.64,0.537,-0.105,0.795,0,1,0,0,0,0,0,0,0,0
9.549,0.762,63.88,0.599,-0.14,0.763,0,1,0,0,0,0,0,0,0,0
9.592,0.77,64.12,0.672,-0.168,0.699,0,1,0,0,0,0,0,0,0,0
9.607,0.799,64.36,0.733,-0.208,0.654,0,1,0,0,0,0,0,0,0,0
9.606,0.786,64.6,0.764,-0.198,0.616,0,1,0,0,0,0,0,0,0,0
9.564,0.777,64.9,0.713,-0.204,0.607,0,1,0,0,0,0,0,0,0,0
9.555,0.787,65.2,0.731,-0.225,0.653,0,1,0,0,0,0,0,0,0,0
9.562,0.781,65.5,0.772,-0.232,0.561,0,1,0,0,0,0,0,0,0,0
9.575,0.887,65.8,0.854,-0.214,0.457,0,1,0,0,0,0,0,0,0,0
10.709,0.904,65.94,0.896,0.037,0.506,0,0,0,0,1,0,0,0,0,0
10.706,0.877,66.3,0.862,-0.001,0.715,0,0,0,0,1,0,0,0,0,0
10.696,0.908,66.58,0.87,-0.051,0.583,0,0,0,0,1,0,0,0,0,0
10.716,0.911,66.86,0.682,0.0655555555555555,0.438,0,0,0,0,1,0,0,0,0,0
10.757,0.884,67.14,0.809,0.0655555555555555,0.525,0,0,0,0,1,0,0,0,0,0
10.783,0.8785454545454545,67.42,0.8673636363636364,0.0655555555555555,0.5815,0,0,0,0,1,0,0,0,0,0
10.785,0.853,67.7,0.85,0.112,0.5815,0,0,0,0,1,0,0,0,0,0
10.781,0.863,68.1,0.889,0.088,0.5815,0,0,0,0,1,0,0,0,0,0
10.771,0.876,68.5,0.906,0.136,0.5815,0,0,0,0,1,0,0,0,0,0
10.715,0.878,69.3,0.907,0.048,0.5815,0,0,0,0,1,0,0,0,0,0
10.62,0.848,69.7,0.945,0.132,0.5815,0,0,0,0,1,0,0,0,0,0
7.783,0.672,59.02,0.612,0.068,0.786,0,0,0,0,0,0,1,0,0,0
7.839,0.514,59.44,0.605,0.04,0.806,0,0,0,0,0,0,1,0,0,0
7.886,0.467,59.86,0.606,-0.044,0.802,0,0,0,0,0,0,1,0,0,0
7.924,0.528,60.28,0.631,-0.075,0.776,0,0,0,0,0,0,1,0,0,0
7.967,0.549,60.7,0.659,-0.016,0.774,0,0,0,0,0,0,1,0,0,0
8.018,0.606,61.12,0.838,-0.069,0.757,0,0,0,0,0,0,1,0,0,0
8.07,0.582,61.54,0.668,-0.034,0.765,0,0,0,0,0,0,1,0,0,0
8.116,0.53,61.96,0.742,-0.016,0.743,0,0,0,0,0,0,1,0,0,0
8.164,0.577,62.38,0.736,-0.098,0.789,0,0,0,0,0,0,1,0,0,0
8.216,0.601,62.8,0.815,-0.068,0.721,0,0,0,0,0,0,1,0,0,0
8.274,0.649,63.3,0.875,-0.089,0.688,0,0,0,0,0,0,1,0,0,0
8.334,0.713,63.8,0.896,0.012,0.635,0,0,0,0,0,0,1,0,0,0
8.399,0.706,64.3,0.901,-0.043,0.701,0,0,0,0,0,0,1,0,0,0
8.467,0.673,64.8,0.902,-0.051,0.656,0,0,0,0,0,0,1,0,0,0
8.472,0.739,65.3,0.777,-0.009,0.742,0,0,0,0,0,0,1,0,0,0
9.489,0.918,61.1,0.707,-0.246,0.708,0,1,0,0,0,0,0,0,0,0
9.576,0.858,61.4,0.667,-0.225,0.695,0,1,0,0,0,0,0,0,0,0
9.677,0.904,61.7,0.64,-0.22,0.696,0,1,0,0,0,0,0,0,0,0
9.681,0.908,62.0,0.679,-0.203,0.676,0,1,0,0,0,0,0,0,0,0
9.758,0.918,62.3,0.7,-0.163,0.706,0,1,0,0,0,0,0,0,0,0
9.812,0.91,62.88,0.656,-0.168,0.672,0,1,0,0,0,0,0,0,0,0
9.83,0.902,63.46,0.645,-0.217,0.657,0,1,0,0,0,0,0,0,0,0
9.839,0.923,64.04,0.723,-0.177,0.653,0,1,0,0,0,0,0,0,0,0
9.856,0.88,64.62,0.647,-0.048,0.682,0,1,0,0,0,0,0,0,0,0
9.815,0.924,65.2,0.623,-0.091,0.669,0,1,0,0,0,0,0,0,0,0
9.788,0.927,65.5,0.658,-0.125,0.664,0,1,0,0,0,0,0,0,0,0
9.814,0.9,65.8,0.621,-0.122,0.654,0,1,0,0,0,0,0,0,0,0
9.846,0.905,66.1,0.644,-0.174,0.718,0,1,0,0,0,0,0,0,0,0
9.86,0.917,66.4,0.657,-0.186,0.546,0,1,0,0,0,0,0,0,0,0
10.745,0.935,69.9,0.924,-0.0358571428571428,0.598,0,0,0,0,0,0,0,0,0,1
10.792,0.922,70.26,0.901,0.069,0.721,0,0,0,0,0,0,0,0,0,1
10.789,0.923,70.44,0.887,0.007,0.652,0,0,0,0,0,0,0,0,0,1
10.779,0.931,70.8,0.807,0.022,0.697,0,0,0,0,0,0,0,0,0,1
10.783,0.937,70.92,0.88,-0.014,0.711,0,0,0,0,0,0,0,0,0,1
10.784,0.927,71.04,0.855,-0.05,0.758,0,0,0,0,0,0,0,0,0,1
10.784,0.909,71.16,0.891,0.017,0.574,0,0,0,0,0,0,0,0,0,1
10.795,0.944,71.28,0.861,0.001,0.512,0,0,0,0,0,0,0,0,0,1
10.81,0.885,71.4,0.869,0.062,0.469,0,0,0,0,0,0,0,0,0,1
10.819,0.929,71.6,0.866,-0.056,0.497,0,0,0,0,0,0,0,0,0,1
10.834,0.922,71.8,0.857,0.054,0.543,0,0,0,0,0,0,0,0,0,1
10.844,0.93,72.0,0.808,-0.125,0.63,0,0,0,0,0,0,0,0,0,1
10.853,0.884,72.2,0.776,-0.172,0.672,0,0,0,0,0,0,0,0,0,1
10.771,0.904,72.4,0.767,-0.164,0.634,0,0,0,0,0,0,0,0,0,1
8.892,0.872,61.6,0.705,0.033,0.769,0,0,0,1,0,0,0,0,0,0
8.883,0.757,62.22,0.874,0.022,0.782,0,0,0,1,0,0,0,0,0,0
7.866,0.445,50.1,0.58,-0.011,0.79,0,0,0,0,0,0,0,0,1,0
7.915,0.382,50.9,0.709,-0.004,0.825,0,0,0,0,0,0,0,0,1,0
7.904,0.477,51.98,0.773,-0.142,0.849,0,0,0,0,0,0,0,0,1,0
7.923,0.523,52.26,0.769,-0.111,0.806,0,0,0,0,0,0,0,0,1,0
7.964,0.577,52.54,0.783,-0.085,0.856,0,0,0,0,0,0,0,0,1,0
7.998,0.506,52.82,0.776,-0.096,0.855,0,0,0,0,0,0,0,0,1,0
7.988,0.434,53.1,0.733,-0.027,0.85,0,0,0,0,0,0,0,0,1,0
7.993,0.493,53.5,0.78,-0.065,0.838,0,0,0,0,0,0,0,0,1,0
8.021,0.436,53.9,0.727,-0.065,0.767,0,0,0,0,0,0,0,0,1,0
8.059,0.504,54.3,0.713,0.002,0.747,0,0,0,0,0,0,0,0,1,0
8.098,0.442,54.7,0.77,-0.016,0.698,0,0,0,0,0,0,0,0,1,0
8.102,0.507,55.1,0.783,-0.083,0.532,0,0,0,0,0,0,0,0,1,0
9.123,0.819,59.6,0.81,0.353,0.802,0,0,0,0,0,0,1,0,0,0
9.167,0.88,59.9,0.834,0.268,0.65,0,0,0,0,0,0,1,0,0,0
9.219,0.848,60.2,0.83,0.277,0.634,0,0,0,0,0,0,1,0,0,0
8.686,0.834,59.0,0.77,-0.044,0.794,0,0,0,1,0,0,0,0,0,0
8.714,0.796,59.5,0.78,0.001,0.817,0,0,0,1,0,0,0,0,0,0
8.756,0.785,60.0,0.726,-0.092,0.801,0,0,0,1,0,0,0,0,0,0
8.773,0.831,60.5,0.779,-0.036,0.763,0,0,0,1,0,0,0,0,0,0
8.797,0.807,61.0,0.703,-0.068,0.781,0,0,0,1,0,0,0,0,0,0
8.831,0.817,61.34,0.782,-0.039,0.825,0,0,0,1,0,0,0,0,0,0
8.865,0.781,61.68,0.862,-0.015,0.84,0,0,0,1,0,0,0,0,0,0
8.915,0.803,62.02,0.846,-0.067,0.812,0,0,0,1,0,0,0,0,0,0
8.953,0.821,62.36,0.881,0.018,0.832,0,0,0,1,0,0,0,0,0,0
8.985,0.829,62.7,0.884,-0.03,0.862,0,0,0,1,0,0,0,0,0,0
9.012,0.796,63.0,0.882,-0.047,0.853,0,0,0,1,0,0,0,0,0,0
9.039,0.779,63.3,0.884,-0.12,0.819,0,0,0,1,0,0,0,0,0,0
9.066,0.827,63.6,0.863,-0.093,0.786,0,0,0,1,0,0,0,0,0,0
9.074,0.784,63.9,0.881,-0.086,0.857,0,0,0,1,0,0,0,0,0,0
8.998,0.805,64.2,0.877,-0.054,0.868,0,0,0,1,0,0,0,0,0,0
9.267,0.766,66.04,0.342,0.006,0.926,1,0,0,0,0,0,0,0,0,0
9.296,0.735,66.48,0.258,-0.026,0.959,1,0,0,0,0,0,0,0,0,0
9.312,0.773,66.7,0.365,-0.128,0.933,1,0,0,0,0,0,0,0,0,0
9.333,0.725,66.74,0.333,-0.035,0.925,1,0,0,0,0,0,0,0,0,0
